
Testing with  PPO for 250000 steps
Using cpu device
Wrapping the env in a DummyVecEnv.
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 1e+03     |
|    ep_rew_mean     | -3.73e+03 |
| time/              |           |
|    fps             | 28        |
|    iterations      | 1         |
|    time_elapsed    | 73        |
|    total_timesteps | 2048      |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -3.45e+03   |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 2           |
|    time_elapsed         | 159         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.012955014 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.39       |
|    explained_variance   | -0.000309   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.37e+03    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0237     |
|    value_loss           | 3.39e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -3.21e+03   |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 3           |
|    time_elapsed         | 246         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.013139028 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.37       |
|    explained_variance   | -0.00026    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.15e+03    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0333     |
|    value_loss           | 2.72e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -3.03e+03   |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 4           |
|    time_elapsed         | 332         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.012180695 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.34       |
|    explained_variance   | 1.31e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 807         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0329     |
|    value_loss           | 1.8e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -2.87e+03   |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 5           |
|    time_elapsed         | 419         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.012932033 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.3        |
|    explained_variance   | 1.84e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 511         |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0396     |
|    value_loss           | 1.42e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -2.68e+03   |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 6           |
|    time_elapsed         | 504         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.015251299 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.26       |
|    explained_variance   | -2e-05      |
|    learning_rate        | 0.0003      |
|    loss                 | 502         |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0425     |
|    value_loss           | 997         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -2.53e+03   |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 7           |
|    time_elapsed         | 592         |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.019154029 |
|    clip_fraction        | 0.237       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.23       |
|    explained_variance   | -7.15e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 271         |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0526     |
|    value_loss           | 507         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -2.43e+03  |
| time/                   |            |
|    fps                  | 24         |
|    iterations           | 8          |
|    time_elapsed         | 679        |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.02100129 |
|    clip_fraction        | 0.242      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.21      |
|    explained_variance   | 5.78e-06   |
|    learning_rate        | 0.0003     |
|    loss                 | 139        |
|    n_updates            | 70         |
|    policy_gradient_loss | -0.0544    |
|    value_loss           | 422        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -2.33e+03   |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 9           |
|    time_elapsed         | 767         |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.022157013 |
|    clip_fraction        | 0.273       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.19       |
|    explained_variance   | -3.34e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 197         |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0584     |
|    value_loss           | 503         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -2.23e+03   |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 10          |
|    time_elapsed         | 854         |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.027671887 |
|    clip_fraction        | 0.327       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.13       |
|    explained_variance   | -2.62e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 149         |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0616     |
|    value_loss           | 247         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -2.16e+03   |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 11          |
|    time_elapsed         | 943         |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.029901039 |
|    clip_fraction        | 0.335       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.1        |
|    explained_variance   | -6.91e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 51.8        |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0585     |
|    value_loss           | 227         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -2.09e+03   |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 12          |
|    time_elapsed         | 1030        |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.030120892 |
|    clip_fraction        | 0.331       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.07       |
|    explained_variance   | -3.46e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 136         |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0533     |
|    value_loss           | 233         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -2.03e+03   |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 13          |
|    time_elapsed         | 1120        |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.063472964 |
|    clip_fraction        | 0.471       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.05       |
|    explained_variance   | 6.56e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 73.7        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0079     |
|    value_loss           | 143         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.97e+03   |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 14          |
|    time_elapsed         | 1209        |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.037486296 |
|    clip_fraction        | 0.245       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.07       |
|    explained_variance   | -2.86e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 53.5        |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0312     |
|    value_loss           | 180         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.94e+03   |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 15          |
|    time_elapsed         | 1500        |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.024432048 |
